Sno,QUARTER,seg_lvl5,L3_PROD_DESC,Sum(chrg_amt),
55,Q4-2016,Total Wholesale,Emergency Communications,31.91,
56,Q4-2016,Total Enterprise,Emergency Communications,124352.39,
57,Q3-2016,Total Enterprise,Emergency Communications,10011.46,
58,Q2-2016,Total Wholesale,Emergency Communications,92.58,
59,Q2-2016,Total Enterprise,Emergency Communications,9564.39,
60,Q3-2016,Other,Emergency Communications,0,
61,Q1-2016,Total Wholesale,Emergency Communications,92.58,
62,Q3-2016,Total Wholesale,Emergency Communications,92.58,
63,Q2-2016,Total Verizon Business Markets,Emergency Communications,645682.94,
64,Q3-2016,Total Wholesale,Emergency Communications,166.08,
65,Q3-2016,Total Verizon Business Markets,Emergency Communications,1471112.65,
66,Q4-2016,CMB,Emergency Communications,0,
67,Q1-2016,Other,Emergency Communications,0,
68,Q1-2016,Total Verizon Business Markets,Emergency Communications,1080122.28,
69,Q1-2016,Total Enterprise,Emergency Communications,6977.45,
70,Q4-2016,Total Verizon Business Markets,Emergency Communications,1714430.99,
71,Q2-2016,CMB,Emergency Communications,0,
72,Q2-2016,Other,Emergency Communications,0,
73,Q3-2016,CMB,Emergency Communications,0,
74,Q2-2016,Total Wholesale,Emergency Communications,166.08,
75,Q1-2016,CMB,Emergency Communications,0,
76,Q1-2016,Total Wholesale,Emergency Communications,166.08,
77,Q4-2016,Total Wholesale,Emergency Communications,161.91,
78,Q1-2016,Other,Managed Hosting & Application Services,0,
79,Q2-2016,Total Wholesale,Managed Hosting & Application Services,100,
80,Q1-2016,Total Enterprise,Managed Hosting & Application Services,140891.12,
81,Q3-2016,Other,Managed Hosting & Application Services,1230,
82,Q4-2016,Total Enterprise,Managed Hosting & Application Services,-520.86,
83,Q1-2016,Total Wholesale,Managed Hosting & Application Services,475,
84,Q3-2016,Total Verizon Business Markets,Managed Hosting & Application Services,0,
85,Q3-2016,Total Enterprise,Managed Hosting & Application Services,394492.67,
86,Q4-2016,Other,Managed Hosting & Application Services,1230,
87,Q2-2016,Total Verizon Business Markets,Managed Hosting & Application Services,0,
88,Q1-2016,Total Verizon Business Markets,Managed Hosting & Application Services,0,
89,Q2-2016,Total Wholesale,Managed Hosting & Application Services,-1759.4897,
90,Q4-2016,Other,Managed Hosting & Application Services,68401.5,
91,Q1-2016,Other,Managed Hosting & Application Services,1230,
92,Q2-2016,Other,Managed Hosting & Application Services,68401.5,
93,Q3-2016,Total Wholesale,Managed Hosting & Application Services,-121.32,
94,Q1-2016,Total Enterprise,Managed Hosting & Application Services,16418.5161,
95,Q4-2016,Total Enterprise,Managed Hosting & Application Services,386339.25,
96,Q3-2016,Other,Managed Hosting & Application Services,68401.5,
97,Q2-2016,Total Enterprise,Managed Hosting & Application Services,3008.62,
98,Q4-2016,Total Wholesale,Managed Hosting & Application Services,50,
99,Q3-2016,Total Enterprise,Managed Hosting & Application Services,-1799.04,
100,Q4-2016,Total Verizon Business Markets,Managed Hosting & Application Services,0,
101,Q1-2016,Total Wholesale,Managed Hosting & Application Services,-2702.6197,
102,Q2-2016,Total Enterprise,Managed Hosting & Application Services,735547.8,
103,Q3-2016,Total Wholesale,Managed Hosting & Application Services,50,
104,Q2-2016,Other,Managed Hosting & Application Services,1230,
105,Q1-2016,Other,Managed Hosting & Application Services,68401.5,
106,Q3-2016,Total Wholesale,High Speed Internet (HSI),316.35,
107,Q4-2016,CMB,High Speed Internet (HSI),4166099.46,
108,Q3-2016,Total Wholesale,High Speed Internet (HSI),0,
109,Q3-2016,CMB,High Speed Internet (HSI),17,
110,Q3-2016,Total Enterprise,High Speed Internet (HSI),321.52,
111,Q1-2016,Other,High Speed Internet (HSI),46.53,
112,Q2-2016,Total Verizon Business Markets,High Speed Internet (HSI),8207.67,
113,Q1-2016,CMB,High Speed Internet (HSI),19.95,
114,Q3-2016,Total Verizon Business Markets,High Speed Internet (HSI),478367.63,
115,Q1-2016,CMB,High Speed Internet (HSI),-3675.72,
116,Q3-2016,Other,High Speed Internet (HSI),91.21,
117,Q4-2016,CMB,High Speed Internet (HSI),0,
118,Q3-2016,Total Verizon Business Markets,High Speed Internet (HSI),21856.86,
119,Q4-2016,Other,High Speed Internet (HSI),88.81,
120,Q4-2016,Other,High Speed Internet (HSI),1934.71,
121,Q1-2016,CMB,High Speed Internet (HSI),-44.99,
122,Q2-2016,CMB,High Speed Internet (HSI),21.5,
123,Q4-2016,CMB,High Speed Internet (HSI),399.98,
124,Q1-2016,Total Enterprise,High Speed Internet (HSI),472.73,
125,Q4-2016,Total Verizon Business Markets,High Speed Internet (HSI),25649.84,
126,Q1-2016,CMB,High Speed Internet (HSI),-2444.58,
127,Q2-2016,CMB,High Speed Internet (HSI),6.99,
128,Q1-2016,Total Wholesale,High Speed Internet (HSI),389.82,
129,Q2-2016,Total Enterprise,High Speed Internet (HSI),0,
130,Q1-2016,Other,High Speed Internet (HSI),8693.39,
131,Q4-2016,Total Wholesale,High Speed Internet (HSI),30,
132,Q1-2016,Total Verizon Business Markets,High Speed Internet (HSI),644972.96,
133,Q4-2016,Total Verizon Business Markets,High Speed Internet (HSI),434231.3,
134,Q2-2016,Other,High Speed Internet (HSI),-5,
135,Q1-2016,Total Verizon Business Markets,High Speed Internet (HSI),8698.69,
136,Q2-2016,Total Verizon Business Markets,High Speed Internet (HSI),-10,
137,Q1-2016,Total Wholesale,High Speed Internet (HSI),136.23,
138,Q3-2016,Total Wholesale,High Speed Internet (HSI),0,
139,Q2-2016,Total Wholesale,High Speed Internet (HSI),286.05,
140,Q3-2016,Total Enterprise,High Speed Internet (HSI),0,
141,Q4-2016,Total Enterprise,High Speed Internet (HSI),0,
142,Q3-2016,Other,High Speed Internet (HSI),17,
143,Q2-2016,Total Enterprise,High Speed Internet (HSI),461.25,
144,Q1-2016,Total Enterprise,High Speed Internet (HSI),39,
145,Q1-2016,CMB,High Speed Internet (HSI),19.5,
146,Q4-2016,CMB,High Speed Internet (HSI),-1544.47,
147,Q2-2016,CMB,High Speed Internet (HSI),17673.89,
148,Q4-2016,Total Wholesale,High Speed Internet (HSI),0,
149,Q2-2016,Total Enterprise,High Speed Internet (HSI),9202.86,
150,Q3-2016,Total Verizon Business Markets,High Speed Internet (HSI),8314.95,
151,Q2-2016,CMB,High Speed Internet (HSI),-22728.19,
152,Q2-2016,CMB,High Speed Internet (HSI),37.18,
153,Q1-2016,Total Enterprise,High Speed Internet (HSI),10301.3,
154,Q3-2016,Total Enterprise,High Speed Internet (HSI),51,
155,Q2-2016,Total Enterprise,High Speed Internet (HSI),43,
156,Q2-2016,Total Wholesale,High Speed Internet (HSI),65.41,
157,Q4-2016,CMB,High Speed Internet (HSI),79.8,
158,Q3-2016,Total Wholesale,High Speed Internet (HSI),30,
159,Q1-2016,Total Verizon Business Markets,High Speed Internet (HSI),26904.32,
160,Q2-2016,CMB,High Speed Internet (HSI),-2405.28,
161,Q1-2016,CMB,High Speed Internet (HSI),467.4,
162,Q1-2016,CMB,High Speed Internet (HSI),5881153.12,
163,Q4-2016,CMB,High Speed Internet (HSI),18459.78,
164,Q4-2016,Total Verizon Business Markets,High Speed Internet (HSI),811.5,
165,Q2-2016,Total Verizon Business Markets,High Speed Internet (HSI),482218.12,
166,Q1-2016,CMB,High Speed Internet (HSI),4199.79,
167,Q4-2016,CMB,High Speed Internet (HSI),287.47,
168,Q3-2016,CMB,High Speed Internet (HSI),331.76,
169,Q2-2016,Total Verizon Business Markets,High Speed Internet (HSI),24777.59,
170,Q3-2016,CMB,High Speed Internet (HSI),4381333.97,
171,Q2-2016,Other,High Speed Internet (HSI),135.12,
172,Q2-2016,Other,High Speed Internet (HSI),4119.89,
173,Q2-2016,Other,High Speed Internet (HSI),19.5,
174,Q2-2016,CMB,High Speed Internet (HSI),388.39,
175,Q3-2016,CMB,High Speed Internet (HSI),0,
176,Q4-2016,Total Wholesale,High Speed Internet (HSI),316.35,
177,Q1-2016,CMB,High Speed Internet (HSI),19270.32,
178,Q3-2016,Total Enterprise,High Speed Internet (HSI),9168.57,
179,Q4-2016,Total Wholesale,High Speed Internet (HSI),0,
180,Q4-2016,Other,High Speed Internet (HSI),8.5,
181,Q3-2016,CMB,High Speed Internet (HSI),-2137.11,
182,Q4-2016,Total Enterprise,High Speed Internet (HSI),8884.75,
183,Q2-2016,CMB,High Speed Internet (HSI),4713687.93,
184,Q2-2016,Total Wholesale,High Speed Internet (HSI),0,
185,Q1-2016,Other,High Speed Internet (HSI),353.32,
186,Q4-2016,CMB,High Speed Internet (HSI),-17255.5,
187,Q1-2016,CMB,High Speed Internet (HSI),0,
188,Q1-2016,CMB,High Speed Internet (HSI),6,
189,Q2-2016,Total Wholesale,High Speed Internet (HSI),0,
190,Q3-2016,Other,High Speed Internet (HSI),3523.57,
191,Q3-2016,CMB,High Speed Internet (HSI),80.89,
192,Q3-2016,CMB,High Speed Internet (HSI),16684.68,
193,Q4-2016,Total Enterprise,High Speed Internet (HSI),545.01,
194,Q1-2016,Total Enterprise,High Speed Internet (HSI),0,
195,Q3-2016,CMB,High Speed Internet (HSI),-21501.94,
196,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",90826.78,
197,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",1228522.28,
198,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",2810.51,
199,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",13762.5,
200,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",291376.8194,
201,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",129.94,
202,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",58507.19,
203,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",9981.72,
204,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",52631.459,
205,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",1722983.16,
206,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",571.69,
207,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",10476.24,
208,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",3261087.127,
209,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",9981.72,
210,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",502270.4761,
211,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",7129.8,
212,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",9981.72,
213,Q1-2016,Other,"CPE Security, Cloud and IT Services",2200,
214,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",491284.5053,
215,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",41079.62,
216,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",2200,
217,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",576291.2767,
218,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",1100,
219,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",2111.09,
220,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",40611.9,
221,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",7129.8,
222,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",74702.47,
223,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",534.18,
224,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",3300,
225,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",2194.02,
226,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",3300,
227,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",9981.72,
228,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",958.1,
229,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",1686900.96,
230,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",92563.52,
231,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",417.3,
232,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",1100,
233,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",543.15,
234,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",9873.35,
235,Q2-2016,Other,"CPE Security, Cloud and IT Services",4404,
236,Q3-2016,Other,"CPE Security, Cloud and IT Services",4404,
237,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",20900,
238,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",20521.08,
239,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",779336.2848,
240,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",35112.42,
241,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",748.49,
242,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",231901.38,
243,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",7500,
244,Q4-2016,Other,"CPE Security, Cloud and IT Services",4404,
245,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",39284.28,
246,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",108.4,
247,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",60174.6,
248,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",9175,
249,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",2090.23,
250,Q1-2016,Other,"CPE Security, Cloud and IT Services",4404,
251,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",65529.49,
252,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",4318.34,
253,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",4587.5,
254,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",1737001.109,
255,Q1-2016,Other,"CPE Security, Cloud and IT Services",2.55,
256,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",115.48,
257,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",136240.17,
258,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",265229.15,
259,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",491888.08,
260,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",-182005.72,
261,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",20428.71,
262,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",27925.64,
263,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",8800,
264,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",44094.04,
265,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",2145.58,
266,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",7700,
267,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",958.1,
268,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",41671.65,
269,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",2500,
270,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",114.43,
271,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",29905.5,
272,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",223757.98,
273,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",2727765.45,
274,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",68176.68,
275,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",222.25,
276,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",7129.8,
277,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",45413.39,
278,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",181968.72,
279,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",55055.34,
280,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",433401.5204,
281,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",98361.17,
282,Q4-2016,Total Wholesale,Security Services,137232.8,
283,Q4-2016,Total Enterprise,Security Services,597500.01,
284,Q3-2016,Total Wholesale,Security Services,151306.36,
285,Q4-2016,Total Enterprise,Security Services,21999,
286,Q3-2016,Total Enterprise,Security Services,1940855.159,
287,Q2-2016,Total Enterprise,Security Services,5565253.219,
288,Q1-2016,Total Enterprise,Security Services,2786915.859,
289,Q3-2016,Total Wholesale,Security Services,43503.4,
290,Q1-2016,Total Enterprise,Security Services,398333.34,
291,Q1-2016,Total Enterprise,Security Services,29467.8,
292,Q2-2016,Total Enterprise,Security Services,21999,
293,Q1-2016,Total Wholesale,Security Services,192403.89,
294,Q3-2016,Total Enterprise,Security Services,597500.01,
295,Q4-2016,Total Verizon Business Markets,Security Services,224534.28,
296,Q1-2016,Total Enterprise,Security Services,916244.9699,
297,Q1-2016,Total Enterprise,Security Services,89758,
298,Q1-2016,Total Verizon Business Markets,Security Services,95587.5,
299,Q3-2016,Total Enterprise,Security Services,-1383.28,
300,Q4-2016,Total Enterprise,Security Services,1136697,
301,Q3-2016,Total Verizon Business Markets,Security Services,28269.5,
302,Q2-2016,Total Enterprise,Security Services,1951297.37,
303,Q1-2016,Total Wholesale,Security Services,156064.1847,
304,Q3-2016,Total Enterprise,Security Services,21999,
305,Q4-2016,Total Enterprise,Security Services,12360,
306,Q2-2016,Total Enterprise,Security Services,59471.37,
307,Q3-2016,Total Enterprise,Security Services,3196409.168,
308,Q2-2016,Total Enterprise,Security Services,597500.01,
309,Q2-2016,Total Enterprise,Security Services,29467.8,
310,Q2-2016,Total Enterprise,Security Services,30000,
311,Q4-2016,Total Enterprise,Security Services,2246668.588,
312,Q4-2016,Total Enterprise,Security Services,-10943.34,
313,Q2-2016,Total Wholesale,Security Services,497449.54,
314,Q1-2016,Total Enterprise,Security Services,84100.8,
315,Q4-2016,Total Enterprise,Security Services,23075.26,
316,Q4-2016,Total Wholesale,Security Services,29711.62,
317,Q2-2016,Total Wholesale,Security Services,261888.33,
318,Q3-2016,Total Enterprise,Security Services,29467.8,
319,Q1-2016,Total Enterprise,Security Services,21999,
320,Q2-2016,Total Enterprise,FiOS - Video Services,279.84,
321,Q3-2016,Total Verizon Business Markets,FiOS - Video Services,23257.81,
322,Q2-2016,CMB,FiOS - Video Services,528.18,
323,Q2-2016,CMB,FiOS - Video Services,251687.88,
324,Q4-2016,Total Verizon Business Markets,FiOS - Video Services,29491.43,
325,Q3-2016,CMB,FiOS - Video Services,9234201.12,
326,Q4-2016,Other,FiOS - Video Services,3123.6,
327,Q2-2016,Total Verizon Business Markets,FiOS - Video Services,484.21,
328,Q4-2016,CMB,FiOS - Video Services,11668538.46,
329,Q1-2016,CMB,FiOS - Video Services,446555.82,
330,Q2-2016,CMB,FiOS - Video Services,11190847.36,
331,Q2-2016,Other,FiOS - Video Services,42.47,
332,Q1-2016,Other,FiOS - Video Services,3618.77,
333,Q3-2016,CMB,FiOS - Video Services,133.43,
334,Q3-2016,Total Enterprise,FiOS - Video Services,125.92,
335,Q1-2016,CMB,FiOS - Video Services,15990523.25,
336,Q1-2016,Total Verizon Business Markets,FiOS - Video Services,677.52,
337,Q3-2016,Other,FiOS - Video Services,51.97,
338,Q4-2016,CMB,FiOS - Video Services,64.96,
339,Q4-2016,Total Enterprise,FiOS - Video Services,111.44,
340,Q3-2016,Total Verizon Business Markets,FiOS - Video Services,551.62,
341,Q4-2016,Total Verizon Business Markets,FiOS - Video Services,449.65,
342,Q3-2016,Other,FiOS - Video Services,3067.12,
343,Q4-2016,Other,FiOS - Video Services,110.9,
344,Q3-2016,CMB,FiOS - Video Services,205100.94,
345,Q2-2016,Other,FiOS - Video Services,2933.24,
346,Q2-2016,Total Verizon Business Markets,FiOS - Video Services,26839.71,
347,Q1-2016,Total Verizon Business Markets,FiOS - Video Services,27030.21,
348,Q4-2016,CMB,FiOS - Video Services,192983.09,
349,Q1-2016,Total Enterprise,FiOS - Video Services,140.92,
350,Q1-2016,Other,FiOS - Video Services,138.42,
351,Q1-2016,CMB,FiOS - Video Services,37.98,
352,Q1-2016,CMB,High Speed Internet (HSI),-6,
353,Q1-2016,Total Verizon Business Markets,CPE Core Maintenance,2781149.7,
354,Q2-2016,Total Enterprise,CPE Core Maintenance,67.55,
355,Q4-2016,Total Wholesale,CPE Core Maintenance,-3482.78,
356,Q1-2016,Total Enterprise,CPE Core Maintenance,5799931.76,
357,Q1-2016,Total Enterprise,CPE Core Maintenance,16616.7,
358,Q2-2016,Other,CPE Core Maintenance,59.95,
359,Q4-2016,Total Wholesale,CPE Core Maintenance,2409,
360,Q2-2016,Total Enterprise,CPE Core Maintenance,2423961.56,
361,Q4-2016,Other,CPE Core Maintenance,51381.37,
362,Q2-2016,Total Enterprise,CPE Core Maintenance,39601995.86,
363,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,54111.62,
364,Q1-2016,Total Wholesale,CPE Core Maintenance,690403.07,
365,Q4-2016,Total Verizon Business Markets,CPE Core Maintenance,721420.82,
366,Q4-2016,Total Wholesale,CPE Core Maintenance,587075.81,
367,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,2124102.61,
368,Q3-2016,Total Wholesale,CPE Core Maintenance,15111,
369,Q4-2016,Total Wireline,CPE Core Maintenance,6029.18,
370,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,49881.59,
371,Q3-2016,Other,CPE Core Maintenance,52469.87,
372,Q4-2016,Total Enterprise,CPE Core Maintenance,38354.29,
373,Q4-2016,Total Verizon Business Markets,CPE Core Maintenance,1549412.49,
374,Q1-2016,Total Verizon Business Markets,CPE Core Maintenance,721.36,
375,Q3-2016,Total Wireline,CPE Core Maintenance,6000,
376,Q2-2016,Other,CPE Core Maintenance,51337.83,
377,Q4-2016,Total Enterprise,CPE Core Maintenance,16912224.62,
378,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,549454.83,
379,Q3-2016,Total Enterprise,CPE Core Maintenance,23058015.46,
380,Q2-2016,CMB,CPE Core Maintenance,119377.44,
381,Q2-2016,CMB,CPE Core Maintenance,249339.16,
382,Q2-2016,CMB,CPE Core Maintenance,0,
383,Q2-2016,Other,CPE Core Maintenance,103.52,
384,Q3-2016,Total Verizon Business Markets,CPE Core Maintenance,3244202.55,
385,Q1-2016,Other,CPE Core Maintenance,51337.83,
386,Q2-2016,Total Wholesale,CPE Core Maintenance,597781.49,
387,Q2-2016,Total Enterprise,CPE Core Maintenance,67.94,
388,Q1-2016,Total Verizon Business Markets,CPE Core Maintenance,150086.82,
389,Q3-2016,Total Enterprise,CPE Core Maintenance,6822860.21,
390,Q3-2016,Total Verizon Business Markets,CPE Core Maintenance,138408.72,
391,Q3-2016,CMB,CPE Core Maintenance,341117,
392,Q1-2016,Total Wireline,CPE Core Maintenance,6000,
393,Q1-2016,CMB,CPE Core Maintenance,432020.88,
394,Q4-2016,Other,CPE Core Maintenance,381.68,
395,Q4-2016,Total Verizon Business Markets,CPE Core Maintenance,90161.98,
396,Q2-2016,Total Wholesale,CPE Core Maintenance,-120,
397,Q3-2016,Total Verizon Business Markets,CPE Core Maintenance,1481090.4,
398,Q2-2016,Total Wholesale,CPE Core Maintenance,1927.77,
399,Q4-2016,Total Verizon Business Markets,CPE Core Maintenance,134473.05,
400,Q1-2016,Other,CPE Core Maintenance,15.19,
401,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,7981.49,
402,Q2-2016,Total Wireline,CPE Core Maintenance,6000,
403,Q1-2016,Total Wholesale,CPE Core Maintenance,2006.77,
404,Q2-2016,Total Wholesale,CPE Core Maintenance,12.08,
405,Q1-2016,CMB,CPE Core Maintenance,0,
406,Q3-2016,Total Enterprise,CPE Core Maintenance,22355.71,
407,Q2-2016,Total Enterprise,CPE Core Maintenance,5002731.6,
408,Q1-2016,Total Wholesale,CPE Core Maintenance,-32.43,
409,Q2-2016,Total Wholesale,CPE Core Maintenance,6.04,
410,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,99882.73,
411,Q4-2016,Total Enterprise,CPE Core Maintenance,6302765.76,
412,Q4-2016,CMB,CPE Core Maintenance,318742.32,
413,Q1-2016,Total Verizon Business Markets,CPE Core Maintenance,2087368.53,
414,Q1-2016,Total Enterprise,CPE Core Maintenance,30322798.57,
415,Q2-2016,Total Enterprise,CPE Core Maintenance,40602.34,
416,Q1-2016,Total Wholesale,CPE Core Maintenance,18.12,
417,Q2-2016,Total Enterprise,CPE Core Maintenance,12640.47,
418,Q1-2016,Total Enterprise,CPE Core Maintenance,29940.98,
419,Q2-2016,Total Wholesale,CPE Core Maintenance,-257.56,
420,Q3-2016,Total Wholesale,CPE Core Maintenance,589243.61,
421,Q3-2016,Total Wholesale,CPE Core Maintenance,2451.78,
422,Q2-2016,Total Verizon Business Markets,CPE Core Maintenance,13340.97,
423,Q3-2016,Other,CPE Core Maintenance,495.99,
424,Q1-2016,Sector2,Prod2,134.97,
425,Q4-2016,Sector5,Prod2,494650651.7,
426,Q1-2016,Sector3,Prod2,650.85,
