Sno,Product Group,Product,Time spent (seconds),Look-to-click rate,Click-to-basket rate,Basket-to-buy rate,Look-to-buy rate,Measurement Period
31,Durables,D108,19.8,9.0,7.7,10.2,0.1,Before Stimuli
35,Durables,D109,30.8,14.0,15.4,26.5,0.6,Before Stimuli
39,Durables,D110,22.0,11.0,7.7,8.1,0.1,Before Stimuli
43,Durables,D101,30.0,7.5,6.8,15.0,0.1,After Stimuli
47,Durables,D102,29.7,13.5,11.5,12.3,0.2,After Stimuli
51,Durables,D103,28.5,7.5,6.8,11.1,0.1,After Stimuli
55,Durables,D104,46.2,16.5,13.5,11.1,0.2,After Stimuli
59,Durables,D105,43.2,18.0,20.7,27.0,1.0,After Stimuli
63,Durables,D106,58.8,21.0,18.7,18.9,0.7,After Stimuli
67,Durables,D107,19.8,9.0,10.9,15.8,0.2,After Stimuli
71,Durables,D108,37.8,13.5,14.3,16.3,0.3,After Stimuli
75,Durables,D109,84.0,21.0,26.0,29.4,1.6,After Stimuli
79,Durables,D110,46.2,16.5,19.8,19.3,0.6,After Stimuli
1,Electronics,E101,57.8,17.0,15.5,10.9,0.3,Before Stimuli
5,Electronics,E102,90.0,25.0,26.3,34.0,2.2,Before Stimuli
9,Electronics,E103,69.0,23.0,19.6,45.1,2.0,Before Stimuli
13,Electronics,E104,46.2,21.0,17.4,23.9,0.9,Before Stimuli
17,Electronics,E105,57.0,19.0,20.9,36.3,1.4,Before Stimuli
21,Electronics,E106,51.0,17.0,17.7,11.7,0.4,Before Stimuli
25,Electronics,E107,44.8,16.0,20.2,23.5,0.8,Before Stimuli
29,Electronics,E108,65.0,25.0,21.5,14.3,0.8,Before Stimuli
33,Electronics,E109,60.0,25.0,26.0,44.8,2.9,Before Stimuli
37,Electronics,E110,57.8,17.0,13.1,29.2,0.7,Before Stimuli
41,Electronics,E101,72.3,21.3,27.2,38.9,2.2,After Stimuli
45,Electronics,E102,112.5,31.3,31.6,60.3,5.9,After Stimuli
49,Electronics,E103,80.5,28.8,33.4,14.7,1.4,After Stimuli
53,Electronics,E104,99.8,26.3,26.3,45.9,3.2,After Stimuli
57,Electronics,E105,90.3,23.8,28.0,26.1,1.7,After Stimuli
61,Electronics,E106,42.5,21.3,15.9,30.6,1.0,After Stimuli
65,Electronics,E107,76.0,20.0,23.8,16.4,0.8,After Stimuli
69,Electronics,E108,118.8,31.3,23.4,55.6,4.1,After Stimuli
73,Electronics,E109,112.5,31.3,39.1,44.7,5.5,After Stimuli
77,Electronics,E110,76.5,21.3,15.7,14.5,0.5,After Stimuli
4,Fashion,F101,10.0,5.0,4.4,3.4,0.0,Before Stimuli
8,Fashion,F102,4.8,2.0,1.9,2.5,0.0,Before Stimuli
12,Fashion,F103,5.2,2.0,2.3,4.0,0.0,Before Stimuli
16,Fashion,F104,4.4,2.0,2.2,2.0,0.0,Before Stimuli
20,Fashion,F105,18.0,9.0,6.3,12.5,0.1,Before Stimuli
24,Fashion,F106,25.6,8.0,6.9,5.0,0.0,Before Stimuli
28,Fashion,F107,2.0,1.0,0.9,1.8,0.0,Before Stimuli
32,Fashion,F108,9.6,3.0,2.8,3.4,0.0,Before Stimuli
36,Fashion,F109,12.0,3.0,3.5,3.6,0.0,Before Stimuli
40,Fashion,F110,16.8,7.0,7.8,6.0,0.0,Before Stimuli
44,Fashion,F101,20.0,5.0,5.9,7.4,0.0,After Stimuli
48,Fashion,F102,5.6,2.0,1.6,3.1,0.0,After Stimuli
52,Fashion,F103,8.0,2.0,2.2,1.2,0.0,After Stimuli
56,Fashion,F104,6.8,2.0,2.3,3.6,0.0,After Stimuli
60,Fashion,F105,18.0,9.0,6.9,8.8,0.1,After Stimuli
64,Fashion,F106,27.2,8.0,9.1,7.6,0.1,After Stimuli
68,Fashion,F107,2.6,1.0,0.8,1.0,0.0,After Stimuli
72,Fashion,F108,11.4,3.0,2.6,3.1,0.0,After Stimuli
76,Fashion,F109,6.0,3.0,3.2,5.5,0.0,After Stimuli
80,Fashion,F110,16.8,7.0,7.7,12.6,0.1,After Stimuli
